Y,X,Hash0,Hash1,Hash2,Hash3,Hash4,
1,64768,0.366062,191.323,76.5304,0.376734,44.9007,
2,3182,0.294177,12.76,3.85241,0.266064,7.74498,
3,22483,0.50813,93.7886,27.8618,0.556911,30.7988,
4,48617,0.525151,189.432,56.5533,0.562374,43.0654,
5,11464,0.54095,48.2447,14.0657,0.520728,17.5339,
6,68854,0.416179,194.372,84.3246,0.375244,39.8207,
7,52935,0.309204,165.629,64.7001,0.30817,33.241,
8,14061,0.305169,62.8012,17.4901,0.308151,18.6988,
9,68873,0.412109,198.829,84.1689,0.378906,41.6279,
10,45673,0.508114,191.595,57.1562,0.547667,42.8722,
11,66902,0.400826,218.961,82.0465,0.420455,48.6973,
12,39470,0.447657,169.026,47.011,0.455633,30.7438,
13,36972,0.374878,150.78,43.5579,0.417722,30.8958,
14,59320,0.322884,172.533,74.1034,0.314525,38.185,
15,48800,0.551859,189.52,59.6497,0.549902,40.3777,
16,69884,0.394297,212.583,89.2016,0.380531,49.2291,
17,29149,0.346979,122.85,35.8207,0.368421,23.1326,
18,280,0.475265,7.0742,0.512367,0.454064,3.67138,
19,36765,0.395,147.421,43.048,0.405,29.281,
20,70755,0.411881,211.943,86.8248,0.380198,42.5921,
21,81817,0.462551,258.86,102.938,0.486842,52.6974,
22,10208,0.509634,41.6628,13.0665,0.453757,15.6272,
23,32297,0.353741,136.876,39.6599,0.385811,21.8435,
24,51956,0.291583,151.882,62.507,0.301603,35.1283,
25,78480,0.481633,225.837,97.8184,0.426531,47.3449,
26,9243,0.405,37.665,11.244,0.413,13.744,
27,52277,0.306748,146.985,63.1646,0.323108,32.3528,
28,12011,0.560591,50.2365,14.8059,0.584236,18.2522,
29,77069,0.438614,238.934,94.6337,0.452475,51.496,
30,66124,0.373031,208.021,80.4321,0.404528,44.1191,
31,65838,0.403902,197.682,84.8976,0.367805,40.8654,
32,50360,0.306082,154.022,62.8285,0.282154,29.4935,
33,68510,0.365385,204.391,81.799,0.371154,49.9192,
34,44991,0.497487,191.771,54.6171,0.495477,38.7859,
35,65462,0.367089,185.229,82.6495,0.397274,34.1938,
36,31074,0.352825,126.652,37.8969,0.352825,24.6006,
37,32301,0.334016,134.128,39.9764,0.344262,28.6486,
38,42967,0.574597,185.817,52.5655,0.5,39.4607,
39,21012,0.479017,87.478,26.3818,0.507677,22.9601,
40,23621,0.534232,102.616,30.0591,0.518672,27.3226,
41,39677,0.451232,161.591,49.336,0.470936,32.335,
42,41704,0.447205,176.345,52.1677,0.47205,33.2164,
43,85703,0.489552,253.557,101.704,0.517413,50.0109,
44,13774,0.330303,55.3162,16.7404,0.325253,17.5111,
45,8481,0.377778,36.1714,10.3545,0.377778,13.9249,
46,45366,0.507987,191.366,54.1129,0.527157,37.4004,
47,37589,0.457341,155.335,46.7946,0.426587,30.7837,
48,49882,0.265947,150.411,63.0294,0.273798,28.8332,
49,44191,0.498452,184.183,54.8617,0.525284,32.2652,
50,16027,0.401822,68.1306,19.3441,0.34919,20.1134,
51,27765,0.324503,117.274,34.8628,0.338694,21.8401,
52,71273,0.384093,214.487,83.4675,0.42968,47.6372,
53,5112,0.471145,21.6547,6.46358,0.511826,12.0341,
54,63818,0.354125,182.668,76.7938,0.395372,41.4608,
55,40006,0.42827,155.631,49.0738,0.466245,35.4072,
56,6106,0.5625,25.7006,7.16532,0.556452,12.9335,
57,23539,0.552657,93.1391,30.3836,0.545894,26.8986,
58,40415,0.469806,164.328,50.0092,0.465711,32.3142,
59,61766,0.350476,181.007,75.461,0.35619,42.9638,
60,60199,0.352884,182.305,73.0205,0.332356,34.3597,
61,30723,0.410569,133.431,38.0132,0.381098,30.0183,
62,70301,0.403403,205.154,88.2112,0.414414,37.2172,
63,47532,0.559633,197.081,59.2813,0.521916,41.0581,
64,18008,0.415584,75.5844,22.2848,0.384045,18.7013,
65,28001,0.308478,116.773,34.5169,0.318693,25.1593,
66,24606,0.245951,107.025,30.2814,0.272267,18.0719,
67,67848,0.429727,201.399,82.0677,0.390293,58.1982,
68,71847,0.392786,220.676,88.2345,0.375752,46.3487,
69,19786,0.475309,80.5,24.4146,0.466049,23.1029,
70,23824,0.518482,97.8591,29.5684,0.553447,28.971,
71,66423,0.380808,192.614,82.2495,0.362626,47.0273,
72,78705,0.445725,242.178,100.375,0.462056,51.1239,
73,81617,0.479412,254.399,97.6441,0.447059,62.2137,
74,29465,0.360971,127.928,37.365,0.353893,24.5298,
75,83062,0.524034,243.731,98.6786,0.488219,56.2055,
76,20818,0.487103,87.1379,25.3274,0.496032,24.4464,
77,35743,0.396825,147.308,43.5347,0.409722,32.8879,
78,59139,0.354286,180.446,72.1086,0.35619,43.5467,
79,2873,0.48048,16.1502,3.46947,0.518519,10.009,
80,38242,0.468487,154.568,47.5683,0.427521,31.9527,
81,29766,0.346487,120.224,38.6583,0.342637,24.9105,
82,47880,0.559548,190.088,57.2916,0.532854,42.2577,
83,52155,0.294821,154.95,65.5339,0.300797,31.8486,
84,31653,0.416751,130.715,40.3542,0.360242,25.6065,
85,66264,0.404449,189.575,82.5935,0.391304,35.1699,
86,67429,0.42366,197.802,82.3246,0.392315,38.8817,
87,32887,0.37004,136.639,40.7262,0.417659,27.7202,
88,9383,0.430542,37.1537,11.1823,0.431527,13.5094,
89,10146,0.42016,43.2236,12.483,0.434132,14.6667,
90,80728,0.43361,232.348,99.0571,0.496888,50.9066,
91,85183,0.511579,251.195,103.018,0.48,51.2084,
92,3411,0.284593,13.4151,4.31403,0.31894,7.51914,
93,68738,0.370664,210.368,84.9792,0.404361,42.0159,
94,8562,0.365,34.043,10.577,0.404,13.419,
95,40023,0.477152,164.746,48.2795,0.44102,33.0446,
96,48,0.252747,1.97802,0.241758,0.296703,0.791209,
97,7070,0.35166,29.666,8.38485,0.303942,10.3185,
98,16162,0.39662,67.8012,20.4513,0.387674,19.7763,
99,12496,0.313404,52.9065,15.8042,0.284474,14.1649,
100,25447,0.301065,103.928,30.8277,0.316554,21.5663,
101,76460,0.444878,208.812,93.4195,0.437073,38.4907,
102,54201,0.346076,172.454,70.2686,0.350101,37.3944,
103,74645,0.401914,230.594,93.8019,0.415311,38.0364,
104,18533,0.399806,81.8209,23.0736,0.440465,25.7986,
105,1363,0.525123,10.599,1.61675,0.501478,6.79409,
106,20463,0.446305,81.866,24.6079,0.450246,21.1261,
107,57139,0.368421,173.97,72.4889,0.339069,36.5354,
108,14193,0.32918,58.6469,17.4154,0.325026,19.3385,
109,44245,0.507246,185.899,54.4193,0.516563,35.3747,
110,26993,0.291881,105.961,32.8438,0.288798,23.2682,
111,66262,0.39438,204.28,81.0785,0.366279,45.3634,
112,54695,0.283213,153.061,65.9753,0.30484,42.1988,
113,56809,0.380705,169.053,68.0809,0.310166,27.8579,
114,45613,0.533923,188.821,58.3274,0.533923,33.7896,
115,43766,0.501581,185.759,54.4573,0.4647,32.3003,
116,74984,0.450746,210.08,90.5095,0.426866,45.6557,
117,72449,0.431864,212.409,89.9399,0.410822,45.2515,
118,37572,0.435,158.229,47.028,0.436,32.358,
119,52934,0.320641,156.421,65.0681,0.306613,39.4469,
120,36207,0.438445,147.667,45.6803,0.394168,28.3542,
121,29648,0.348361,118.056,36.999,0.328893,24.4734,
122,36427,0.417734,145.688,43.5291,0.416749,26.3665,
123,45294,0.494845,190.686,58.5103,0.546392,36.2897,
124,48943,0.57157,204.42,58.7275,0.53307,45.2231,
125,57887,0.37182,185.174,68.7202,0.360078,41.3366,
126,48957,0.617476,201.182,58.8757,0.587379,44.0388,
127,20349,0.453704,81.7788,24.6204,0.438272,24.6656,
128,33862,0.36008,143.462,39.2859,0.391174,25.2156,
129,32207,0.356367,132.549,38.4511,0.375123,28.8361,
130,76592,0.455357,232.901,98.2738,0.460317,47.247,
131,23880,0.571429,98.3816,29.7532,0.562438,31.1828,
132,63807,0.401623,185.776,79.0629,0.374239,39.1734,
133,5042,0.470276,19.6741,6.2707,0.446921,12.1677,
134,76,0.434211,3.13158,0.434211,0.519737,2.07895,
135,57259,0.313192,180.508,72.5398,0.344411,32.4099,
136,40859,0.505976,178.657,51.1394,0.484064,34.3655,
137,6116,0.531957,23.9617,7.28909,0.553589,12.0619,
138,23532,0.56443,97.3056,28.7551,0.543131,27.4473,
139,37272,0.440969,151.068,42.995,0.392533,30.8577,
140,72086,0.427502,218.782,88.0384,0.429373,49.3096,
141,67023,0.366397,190.581,80.9615,0.3917,47.4929,
142,80373,0.451679,240.834,98.591,0.475076,36.9186,
143,80569,0.456814,230.783,98.524,0.43666,42.9578,
144,53984,0.3343,154.39,64.0744,0.291787,35.0995,
145,56551,0.315844,164.576,69.6636,0.350823,38.713,
146,85270,0.51277,252.407,105.497,0.497053,59.2721,
147,38170,0.428571,156.508,49.2482,0.413374,36.4853,
148,47381,0.604747,196.591,59.1868,0.498452,48.7792,
149,47663,0.545918,193.631,59.0694,0.586735,39.4194,
150,47783,0.54251,196.645,59.582,0.543522,38.1943,
151,64175,0.369565,197.889,78.3437,0.365424,41.1046,
152,31073,0.358074,126.326,36.2237,0.351053,23.671,
153,27018,0.288386,111.866,33.9154,0.334646,19.7972,
154,27694,0.289628,112.578,33.953,0.351272,22.4051,
155,4639,0.413347,20.2092,5.5,0.408367,9.67131,
156,21499,0.477733,91.004,25.3593,0.501012,25.4575,
157,34435,0.371227,146.286,40.7435,0.374245,31.8773,
158,4204,0.384541,17.1556,5.18068,0.395169,9.1343,
159,45426,0.521182,182.083,54.6936,0.553695,34.87,
160,51186,0.300104,158.395,63.2492,0.317757,31.5504,
161,42237,0.465465,175.504,50.6076,0.479479,32.8128,
162,20007,0.435367,78.999,25.152,0.445708,22.5326,
163,82696,0.481752,255.562,103.045,0.50365,49.8363,
164,78577,0.444444,231.13,97.1478,0.426587,52.0188,
165,26834,0.310241,112.968,33.4307,0.306225,26.6707,
166,8824,0.376598,34.9774,11.0737,0.402163,12.4051,
167,47347,0.611707,199.655,56.8156,0.583415,38.3922,
168,41537,0.442786,170.132,51.3582,0.464677,37.7443,
169,79657,0.456158,243.599,99.5724,0.482759,56.3123,
170,17453,0.404573,73.2485,21.2684,0.38668,18.6143,
171,6871,0.32696,30.0067,8.06405,0.3174,10.3098,
172,52012,0.283938,159.505,64.3523,0.307772,24.8435,
173,60841,0.374874,190.127,77.003,0.340704,31.7719,
174,67152,0.379147,209.767,82.9867,0.432227,48.9014,
175,78147,0.445565,219.175,94.3165,0.419355,50.7903,
176,43865,0.521479,183.784,53.7213,0.497502,35.6983,
177,50762,0.304771,149.766,61.927,0.306719,31.1792,
178,85231,0.482021,248.275,103.932,0.49757,53.6764,
179,63062,0.321678,197.667,77.035,0.380619,37.3177,
180,26263,0.288703,117.062,32.6684,0.324268,20.5575,
181,5580,0.517454,22.4713,6.5883,0.517454,11.4836,
182,50583,0.304781,145.997,62.1175,0.276892,36.3237,
183,32173,0.395025,133.831,37.1403,0.389055,25.7851,
184,57368,0.327,170.235,72.793,0.331,31.805,
185,9155,0.412538,37.1668,11.004,0.385238,14.185,
186,5993,0.527179,24.5333,7.15692,0.53641,14.4533,
187,49275,0.27933,147.506,60.7728,0.256052,30.3119,
188,11451,0.534219,46.4249,14.0633,0.516854,16.8948,
189,62712,0.374759,189.534,73.9441,0.349711,47.4952,
190,28954,0.327723,116.39,34.2911,0.321782,26.1218,
191,63188,0.366472,181.836,78.2778,0.382066,34.0731,
192,13538,0.309237,56.2369,16.762,0.300201,17.3263,
193,4039,0.41776,16.6912,5.04541,0.379415,8.77497,
194,40282,0.446535,168.865,50.6733,0.476238,31.5089,
195,78395,0.430627,232.707,97.0123,0.453237,47.7575,
196,35388,0.397638,148.559,43.1319,0.410433,29.8514,
197,37175,0.468843,149.41,45.5974,0.426311,28.9822,
198,26582,0.317121,106.591,34.0574,0.322957,23.6479,
199,21803,0.531935,94.4652,26.4709,0.48999,25.2974,
200,35473,0.410494,145.906,44.0576,0.399177,31.5813,
201,11007,0.529295,46.28,13.3704,0.518371,17.1609,
202,19415,0.424823,78.8708,23.9243,0.463169,25.4682,
203,70177,0.407143,193.388,82.5724,0.381633,42.8102,
204,5989,0.510769,24.4062,7.43282,0.492308,12.8041,
205,54770,0.30297,163.416,69.3109,0.311881,38.8901,
206,48652,0.570866,205.366,59.6161,0.543307,39.4852,
207,9080,0.426181,38.2904,11.1575,0.385827,13.0581,
208,4077,0.371643,18.0623,5.10097,0.403867,10.0021,
209,30938,0.327919,128.561,36.7452,0.372589,29.0173,
210,38207,0.456583,161.628,46.8665,0.473389,31.2026,
211,65012,0.349076,197.951,80.6571,0.350103,39.4856,
212,62329,0.378863,185.135,80.7687,0.35992,37.5234,
213,24827,0.296693,102.816,30.4212,0.29572,20.6119,
214,34835,0.392216,155.578,43.8024,0.404192,30.5409,
215,40703,0.469087,173.561,51.107,0.482826,31.4504,
216,75436,0.486459,217.714,90.2136,0.42327,43.2618,
217,12542,0.303393,51.9631,15.3653,0.270459,12.8723,
218,17217,0.41658,73.6756,21.9047,0.396891,23.5016,
219,10808,0.534816,44.6335,13.7882,0.468085,17.1721,
220,80043,0.451411,234.931,98.4901,0.467085,52.0188,
221,62149,0.342213,193.907,74.002,0.365779,45.624,
222,51503,0.29722,151.216,63.4631,0.303931,28.1956,
223,81241,0.452696,248.127,105.383,0.471007,54.1709,
224,47865,0.570652,194.735,60.4141,0.566304,39.2207,
225,50845,0.330199,157.496,62.511,0.291536,28.4692,
226,1272,0.468168,9.37904,1.55142,0.457395,6.46915,
227,71341,0.426817,207.31,90.6377,0.426817,44.7175,
228,80566,0.449612,246.709,103.364,0.450581,53.3779,
229,74101,0.448498,215.456,92.0322,0.409871,48.9152,
230,36053,0.424575,156.649,44.1608,0.433566,31.961,
231,53203,0.327254,158.716,68.2097,0.283688,28.9291,
232,55945,0.307079,168.004,69.5743,0.279163,28.6261,
233,77423,0.407484,217.515,95.0468,0.427235,39.0759,
234,84051,0.514515,244.435,105.57,0.462462,48.2192,
235,21653,0.464039,90.3714,26.398,0.516256,25.6936,
236,1366,0.492386,10.4822,1.64162,0.53198,6.7198,
237,30375,0.37,129.61,36.911,0.357,28.328,
238,65188,0.375375,196.262,79.023,0.371371,42.7117,
239,86020,0.486708,258.943,105.139,0.517382,54.8384,
240,34956,0.387414,147.191,43.5792,0.403147,33.6106,
